autor_comentario,nota_comentario,conteudo_comentario
Matheus S.,3,bom filme j ater assistir apresentar jeito inocente ser olhar criança umesmo estar época pós guerra mundo começar superar dor desastre mostrar jeito especial hugo inocência criança de ele adulto pessoa viver rotina feliz p chamar atenção jeito tratar mostrada certo cômico perceber principalmente causar ator cordialesanque pessoa dever ise tratar principal mensagem filme marcar frase hugo humanos maquina função representar personagem viver feliz função estaçãr pensar fincão mostrar aventura durante mostrar marcante nao precisar paixão personagem principal momento vario cena protagonisto maomcom inocência firmar elemento amizade entror menino menina chamar muito atenção jeito mostrar história cinema realmente magico jeito pessoa ter pequeno introdução perante acontecer genialmente construir pensar bom historia introduzir conteúdo pessoa aprendar hugo ensinar certo idéia apresentar história filme trar complementar perceber is elemento presente belo imagem filme juntamente musica tom harmonioso histório momento ser triste voce continuar sentimento melhor Paris belo fotografia estação passado principal cidade rua arte encontrar atuação fantástico penetrante olho azul butterfield ja esperar incrível atuação moretz personagem secundário escolher levemente cômico encaixar principalmente tom filme aler atuação christopher lee mostrar exatamente sentirer situação personagem ae expressar bom jeito dever .figurino perfeito cenário idem perceber vario ligação encaixandono coisa époco arte histór ser riquíssimo detalhe passar despercebir bom 3d filme ja ver profundidade algum social levemente sair tela mostrar nao exagero perfeição
Eduardo P.,1,filme homenagem cinema cinéfilo verdade curiosidader fato história cinema imagem lindo história inicial desculpa filme desenrolar belo homenagem
Júnior S.,3,filme doce vivaz inteligente cativante fato belo homenagem arte destaque inegável claro excepcional uso 3d . elenco dirigir roteiro absolutamente eficaz asa butterfield Chloe moretz perfeito personagem destaque martin scorseser presentear cinema durante década hugo representação dedicação
Neto S.,2,Paris ano 30 hugo cabret asa butterfield órfão viver esconder parede estação tr guardar com si robô quebrar deixado pai jude law dia fugir inspetor sacha baron cohen conhecer isabelle Chloe moretz jovem amizade hugo descobrir chave fecho coração exatamente tamanho fechadura existente robô robô volta funcionar levar dupla resolver mistério mágico fotografia lindo atuaçoes otimo historia invençao hugo cabret filme voce nao deixar ve nota 9.0
Ronaldo B.,1,esperar filme chato cinema assistir pensar chato filme indicar oscar filme chatir ... invenção Hugo cabret coisa indicar filme ano bom efeito 3d quase filme
Eder Luis Santana,1,engraçado expectativa criar torno obra influencer olhar mesmo ter ver trailer leitura crítico esperar hugo cabret ser aventura de aquele tirar fôlego estilo harry potter fizesse naturalmente surgir desejor série luto fuga buscar tesouro precioso engano verdade filme aventura aventura pacato fotografia sensacional representação histórico agrar filme apaixonar história perceber pré-concepção filme cair terra lir modo história cinema tratar emplacar obra caráter aventura educacional confesso determinar cena questionei talento jovem protagonista asa butterfield grave talento obra aliás martin scorseser dispensar comentário puro talento
jrcampos,3,excelente percar comedia engraçar Paulo    Gustavo ótimo Monica Martelli atuar quarentona fechar comércio mostrar biauine
Sidney  M.,1,diferente filme scorseser costumar realizar bom película filme
RASEC,1,fotografia 100      filme    cansativo chato      perder completamente vc pensar      completamente diferente    recomendar .........
Luiza G.,1,esperar história filme comprar ter muito esperança decepcionar história péssimo deixar desejar elenco
Álvaro José S.,2,filme surpreendente contar história revolucionário cinema poético
Dienifer S,2,filme belo efeito visual exagero efeito 3d coisa simples neve cair folha desenho voar acreditar simplicidade filme certo encanto personagem modo adorável história criativo cheio elemento invençãor hugo cabret filme enchar olho
Josimar M.,2,belíssimo homenagem cinema filme tocante estilo diferente
cinetenisverde,1,hugo filme 3d mestre scorseser bom companheiro táxi driver caso – preciso – uso tecnologia totalmente justificar abordar história gir torno cinema primórdio ideia “ separar ” criação filme antigo filme criar exercício metalinguístico admirável aventura extremamente emocionante uso tecnologia aplicar competência diferir filme anterior principalmente velho foco avatar 3d “ verdade ” james cameron aplicar foco maneira binário personagem esquecer estar cenário profundidade campo variável hugo ocorrer perda gradual foco fundo ficar pouco “ embaçar ” ser simulação olhos funcionar ambiente mundo real uso engrenagem cenário interno longo corredor conseguir ajudar ambientar profundidade campor facilmente recurso ser repetir exaustão importante situar universo protagonista cenário “ externo ” sofrer limitação tecnologia plano aéreo objeto pareçar maquete espírito fabuloso narrativa encaixar se perfeitamente
Luis R.,1,fraco!!!!!!!a trama filme desinteressante maçante ritmo tedioso excelente interpretação salr filme
felipinho,2,praticamente perfeito acelerar adiantar mistério crescer gradativamente incluir mélies história acontecer vejor coração scorseser presente engrandecer amor arte ”    nota 9.0
wesleyaxe,3,aventura cinema encantador estória mágico puro levar sutileza nostalgia mundo cinema mundo sonho felicidade exigir muito pra existir lindo fotografia atuação divertido adorei
danilo s,2,belo homenagem cinema mestre cinema scorcese dirigir belo filme história tocante
Fê Sanches,2,filme belíssimo sentir história bonito cenário fotografia perfeito legal tb fato inserir sensacional história cinema filme contar pouco contar trilha sonoro utilizar uso 3d bom efeito ficar sensação realmente valer ingresso
Andrei Andrade,3,simplesmente espetacular mestre aprovar sutl mudança discordar
Carlos C.,3,bom filme humor terror dimensionar ator excelente especialmente jovem loser autêntico obra primo medo
Mario F.,3,verdadeiro obra primo medo filme terror clássico historia envolvente prender começo
Um visitante,1,apele dever explícito acertar quase resto belo conto amizade diverte constrói personagem relação estabelecer associação monstro humanos momento tenso pennywise assustador apelo nostálgico fracamente anunciar ficar terceiríssimo plano filme horror controlar fórmula resumir susto motivação tola personagem punhar pretexto criativo curiosamente humor trunfo obra valer revisitar gênero suspense infanto-juvenil
Rodrigo O.,3,obra primo incrível diretor conciliar filme terror bom dose comédia perder nenhum minuto foco filme geração ator mirins dar show interpretação adulto hollywood cena terror incrivelmente realista assustadora enredo capaz prender início excelente filme
Janaína R.,3,"vc filme sangue diálogo inacabar sentido conteúdo ir cinema vc identificar amizade seção nostalgio infâncer pré-adolescência risada susto medo interior receio clube perdedor "" filme construir bom diálogo terror psicológico muito criatividade époco filme    insistir    ator talentoso mt imaginação trilho sonoro qualidade rock ano 80 the cure valer pena it filme inteligente dose humor simpatia empatia mt companheirismo medir exagero 2:15 filme cumprir papel obra primo medo vir capítulo 2 
  spoiler"
Wellton O.,3,terror drama suspense aventura comédia toque romance dose certo incrível
Paulo V.,3,it surgir eu certo receio achar facilmente poder desapontar decidir ler crítico algum assistir fiz filme lembrar série stranger things'(inclusir ator série gosto enredo curto pegada adolescente envolver confusão algum levar crer filme infantil ... fantasminha ... definitivamente filme cercar drama familiar pesadíssimo de aquele incomodar existir precisar falar bullying pedofilia relatar quase pesado marcante criatura aparição impecável aliás palhaço moda mencionar único entrar detalhe palhaço conseguir prender filme deixar tenso deixar medo assustar cena garoto descer porão casa lembrar cena tenso terror ver vida ambientação frase interpretação ator saí cinema impressão demorar filme recente superar valer ingresso dúvida dificilmente haver thriller cinema dia atual
Vitor M.,2,"recomendadíssimo ter cabeça pra monte cena grotesco perturbadora spoiler simplesmente acontecer georgie garotinho encontrar palhaço bueiro comecinho filme leia achar vale pra preparar caso vc ter ver 
  spoiler 
  garotinho braço decepar espirrar sangue desesperar medo morrer morrer 
   contar cena recomer atuação simplesmente fenomenal interpretar protagonista 18 ano finn Wolfhard Richie tozier surpresa vir stranger things resto surpresa total hollywood realmente melhorar encontrar bom ator pequeno idade vidar ator ir citar pra perder foco bill skarsgard pennywise simplesmente perturbador assustador Superior tim Curry momento ficar engraçado empático ficar alternar medo raiva de ele falar raiva ... henry bowers odiar umbridger harry potter q voldemort ser má pessoal quase umbridge vida sentir vilania de ela voldemortr caso henry raiva sentir de ele superior á pennywise dar 
  spoiler 
  brecha bullying Bill causar irmão morrer de ele 
   sentir certo sensação tããão ruim horrível poder mau sensação acabar decorrer filme pra eu 
  spoiler 
  tentar matar ben acabar completamente sensação psicopato aparentemente morrer gritar tomaaaa 
  filme cena marcante bill 
  spoiler 
  entrar casa abandonar pennywise fácil pra entrar próprio casa lembrar irmãozinho de ele 
   beverly 
  spoiler 
  matar pai pra defender de ele garotinha 
  amei 
  spoiler 
  atacar pennywise pra resgatar beverly conseguir palhaço ficar medo de eles percebi medo pennywise pensar sentir outro moeda otário 
   favoritar filme inteiro mesmo cena bill 
  spoiler 
  matar beverly medo ninguém medar gente 
   amei cena exatamente falarer situação crédito pra eu pro diretor pro ator jaeden lieberher vc sentir ator líder nato bill q atuação finn Wolfhard hilário apesar 95 piada de ele ser sujo relacionar á sexo pessoalmente pessoa certinha gostar de ele jack dylan grazer rir causo personalidade hipocondríaco excelentemente interpretar jeremy Ray taylor cômico Fofo ben fofo pançudinho personalidade de ele fofo sinto garotinha escrever verdade chosen jacobs Mike ótimo apesar personagem ser ver sophia lilli beverly simplesmente fantástico olhos querer demonstrar emoção acabar demonstrar personagem forte complexo dirigida interpretar recomendar ter coração estômago tímpano resistente barulhento valer"
